Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189383,0.24875,47.075,-0.056700826,0.2474747474747475
20000,1.415399,0.2925531914893617,47.670212765957444,0.0108004445,0.29342105263157897
30000,1.4147106,0.26816239316239315,41.61538461538461,0.05673671,0.26816239316239315
40000,1.4143219,0.24891304347826088,44.56956521739131,0.08248996,0.24891304347826088
50000,1.4125813,0.24759615384615385,43.98557692307692,0.09932103,0.25120772946859904
60000,1.4115559,0.2714285714285714,46.576190476190476,0.12831314,0.2677725118483412
70000,1.4110314,0.2828125,65.76875,0.14431514,0.2828125
80000,1.4115144,0.3,53.8125,0.13176264,0.3
90000,1.4124719,0.23557692307692307,49.38461538461539,0.1479007,0.23557692307692307
100000,1.4125501,0.24778761061946902,42.17256637168141,0.14090154,0.24778761061946902
110000,1.4128453,0.2511261261261261,46.572072072072075,0.15052393,0.25227272727272726
120000,1.4117132,0.2540983606557377,40.48770491803279,0.15372182,0.2520491803278688
130000,1.4107227,0.2864583333333333,48.848958333333336,0.16096349,0.28367875647668395
140000,1.4102035,0.253099173553719,38.450413223140494,0.18793581,0.25617283950617287
150000,1.4097309,0.2532051282051282,41.30769230769231,0.19247802,0.2532051282051282
160000,1.4096537,0.2627118644067797,43.08474576271186,0.19150218,0.2638888888888889
170000,1.4089519,0.27247191011235955,49.82022471910113,0.20481306,0.2708333333333333
180000,1.4076403,0.24051724137931035,35.720689655172414,0.22244126,0.23958333333333334
190000,1.4064739,0.27712264150943394,43.443396226415096,0.23787463,0.2780373831775701
200000,1.4055055,0.2708333333333333,65.08333333333333,0.24174854,0.2708333333333333
210000,1.4056007,0.2747524752475248,48.26732673267327,0.23148216,0.2747524752475248
220000,1.406345,0.2878289473684211,63.44078947368421,0.21846408,0.29
230000,1.4060245,0.29398148148148145,46.5462962962963,0.19353822,0.29243119266055045
240000,1.4044323,0.27970297029702973,46.851485148514854,0.1837772,0.2848258706467662
250000,1.4025534,0.2789473684210526,46.55263157894737,0.19925119,0.27356020942408377
260000,1.4021319,0.3125,52.61274509803921,0.20571034,0.3091133004926108
270000,1.4020264,0.32472826086956524,48.505434782608695,0.19983347,0.32837837837837835
280000,1.4009365,0.2895408163265306,54.433673469387756,0.18374777,0.28865979381443296
290000,1.3999043,0.3143939393939394,43.474747474747474,0.22150154,0.3143939393939394
300000,1.3981663,0.2638888888888889,59.361111111111114,0.20712993,0.2651098901098901
310000,1.3957622,0.2990506329113924,60.56962025316456,0.20056798,0.2990506329113924
320000,1.3944771,0.3068181818181818,52.77840909090909,0.21269406,0.3045977011494253
330000,1.3936698,0.30756578947368424,54.81578947368421,0.20857784,0.31006493506493504
340000,1.3941364,0.32865168539325845,64.32022471910112,0.20243697,0.32865168539325845
350000,1.392513,0.3256172839506173,58.358024691358025,0.20647864,0.3256172839506173
360000,1.3908871,0.285,52.60666666666667,0.20617406,0.285
370000,1.392144,0.33653846153846156,84.0673076923077,0.2108174,0.33653846153846156
380000,1.3917217,0.31473214285714285,86.98214285714286,0.22103831,0.31473214285714285
390000,1.3914298,0.298728813559322,95.2542372881356,0.23263524,0.298728813559322
400000,1.3911493,0.3640625,68.15,0.21170801,0.35691823899371067
410000,1.3904266,0.32401315789473684,61.13157894736842,0.20947845,0.3344370860927152
420000,1.3903558,0.34294871794871795,65.75,0.19496901,0.3401898734177215
430000,1.3901467,0.3333333333333333,62.493589743589745,0.19726005,0.3333333333333333
440000,1.3903466,0.3465909090909091,72.70454545454545,0.17986535,0.3465909090909091
450000,1.391029,0.3212025316455696,68.72784810126582,0.18166083,0.3212025316455696
460000,1.3905723,0.3558823529411765,50.96470588235294,0.17914464,0.3558823529411765
470000,1.3901206,0.3706896551724138,82.39655172413794,0.18393178,0.3706896551724138
480000,1.3886975,0.34487951807228917,64.30722891566265,0.16600183,0.34487951807228917
490000,1.387533,0.33,53.21333333333333,0.16820773,0.33
500000,1.3865968,0.4583333333333333,114.02222222222223,0.17304434,0.449438202247191
510000,1.3855411,0.43640350877192985,89.05263157894737,0.18431549,0.4434782608695652
520000,1.3844872,0.4141566265060241,62.06024096385542,0.20742442,0.4141566265060241
530000,1.3834114,0.4098101265822785,63.050632911392405,0.22368349,0.4098101265822785
540000,1.3816992,0.3971518987341772,59.424050632911396,0.216593,0.4012738853503185
550000,1.3798511,0.3680555555555556,66.67361111111111,0.19927675,0.36379310344827587
560000,1.3785363,0.3971774193548387,69.01612903225806,0.19755882,0.39549180327868855
570000,1.3776509,0.39488636363636365,65.0284090909091,0.18531089,0.384180790960452
580000,1.3773199,0.37681159420289856,71.31884057971014,0.18716171,0.3905109489051095
590000,1.3768841,0.3891509433962264,70.10377358490567,0.19615448,0.3912037037037037
600000,1.3770332,0.38392857142857145,70.41666666666667,0.21290854,0.3870481927710843
610000,1.3777554,0.3400735294117647,60.588235294117645,0.21891838,0.33695652173913043
620000,1.3773787,0.3870481927710843,69.87951807228916,0.2044457,0.3870481927710843
630000,1.3767991,0.32407407407407407,54.51851851851852,0.22035895,0.3307453416149068
640000,1.3758668,0.3717532467532468,69.66233766233766,0.23405306,0.36451612903225805
650000,1.3742843,0.3911290322580645,73.41129032258064,0.24608724,0.3911290322580645
660000,1.3741082,0.4375,95.30434782608695,0.19235423,0.4375
