Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,1.033402,3.7862647,0.0,97.81818181818181,0.0
20000,1.020246,3.9678528,0.0,98.0,0.0
30000,1.0091734,3.7338655,0.0,98.0,0.0
40000,1.0236747,3.9161994,0.0,98.0,0.0
50000,1.0310087,3.4737732,0.0,98.0,0.0
60000,1.0327922,3.723355,0.0,98.0,0.0
70000,1.0071677,2.148404,0.0,98.0,0.0
80000,1.0351076,2.8848722,0.0,98.0,0.0
90000,1.0507492,1.8636153,0.0,98.0,0.0
100000,1.0262641,2.7718456,0.0,98.0,0.0
110000,1.0105798,1.7237799,0.0,98.0,0.0
120000,1.0052534,1.5741003,0.0,98.0,0.0
130000,1.0105563,1.3537134,0.0,98.0,0.0
140000,0.96774656,2.0692904,0.0,98.0,0.0
150000,0.9318599,4.510553,0.0,98.0,0.0
160000,0.9905204,2.5579178,0.0,98.0,0.0
170000,0.9665687,1.1152836,0.0,98.0,0.0
180000,0.9165191,2.113874,0.0,98.0,0.0
190000,0.8862432,1.8104414,0.0,98.0,0.0
200000,0.9641217,1.1473535,0.0,98.0,0.0
210000,0.9770239,0.5355996,0.0,98.0,0.0
220000,0.9927984,0.08839676,0.0,98.0,0.0
230000,1.0010555,0.8451211,0.0,98.0,0.0
240000,0.9742264,0.86362237,0.0,98.0,0.0
250000,0.93350905,1.4732046,0.0,98.0,0.0
260000,0.9622914,0.7907133,0.0,98.0,0.0
270000,0.95965284,2.231914,0.0,98.0,0.0
280000,0.9148138,1.0642685,0.0,98.0,0.0
290000,0.93820864,1.061373,0.0,98.0,0.0
300000,0.9514971,0.35223842,0.0,98.0,0.0
310000,0.94727606,0.47249398,0.0,98.0,0.0
320000,0.8915746,1.1794765,0.0,98.0,0.0
330000,0.87600267,0.9913728,0.0,98.0,0.0
340000,0.89095265,1.6544003,0.0,98.0,0.0
350000,0.9168379,0.35154974,0.0,98.0,0.0
360000,0.8753785,0.7764964,0.0,98.0,0.0
370000,0.8985805,0.79406005,0.0,98.0,0.0
380000,0.861111,0.69235826,0.0,98.0,0.0
390000,0.8968484,0.4592705,0.0,98.0,0.0
400000,0.9332467,0.24036044,0.0,98.0,0.0
410000,0.87838316,0.6240876,0.0,98.0,0.0
420000,0.88117117,0.847648,0.0,98.0,0.0
430000,0.90710944,0.23193333,0.0,98.0,0.0
440000,0.889177,0.38594136,0.0,98.0,0.0
450000,0.88774276,0.45525447,0.0,98.0,0.0
460000,0.8627393,0.7882166,0.0,98.0,0.0
470000,0.90515304,0.24804956,0.0,98.0,0.0
480000,0.91049653,0.2214551,0.0,98.0,0.0
490000,0.8802688,0.3908149,0.0,98.0,0.0
500000,0.90930116,0.2997065,0.0,98.0,0.0
